date,portfolio_nav,sp500ew_norm
2015-02-01,1.0,1.0
2015-03-01,1.044156185206993,1.0469181569169133
2015-04-01,1.0249638381460404,1.0268676005194128
2015-05-01,1.0411904725986725,1.0442883417124482
2015-06-01,1.0449320191247655,1.0406859827192734
2015-07-01,1.029155558656402,1.0205478599723223
2015-08-01,1.0359099167137429,1.023033843439765
2015-09-01,0.9550934056384927,0.9384536057524755
2015-10-01,0.9537940423698346,0.9326466665735272
2015-11-01,1.0206888809001058,1.0123237230982547
2015-12-01,1.0194003266090157,1.0097251325118586
2016-01-01,0.9824388286200753,0.9748117342572766
2016-02-01,0.9428309084231502,0.9198851880718294
2016-03-01,0.9788272792078588,0.9478065621932171
2016-04-01,1.0368868847494728,1.0025923303940203
2016-05-01,1.042379328328684,1.016989245981968
2016-06-01,1.052832871873461,1.0248568572658578
2016-07-01,1.055283222294067,1.023668642215424
2016-08-01,1.0958082494026478,1.0577658488030703
2016-09-01,1.097702992562435,1.0614214194314386
2016-10-01,1.099550786155702,1.0615058556847012
2016-11-01,1.0677419987389323,1.0265611564682406
2016-12-01,1.1288194068730093,1.0829823617552938
2017-01-01,1.1490510907938951,1.1061662207806475
2017-02-01,1.1604934959321596,1.116379190234955
2017-03-01,1.2184826950128431,1.1667214433499542
2017-04-01,1.1990110654961172,1.1506640499062537
2017-05-01,1.2088948601387397,1.156986920549532
2017-06-01,1.2306695017581517,1.1744170520311308
2017-07-01,1.2348412830485767,1.1739011205668008
2017-08-01,1.2493814136981247,1.1931261713526116
2017-09-01,1.2479133710658743,1.1824910969758002
2017-10-01,1.2796275544013278,1.2154907849586511
2017-11-01,1.2917269205253525,1.2230676026723082
2017-12-01,1.3391057860664606,1.264235085797845
2018-01-01,1.3576222681781178,1.2898237748211856
2018-02-01,1.3976574838547489,1.3328267158137574
2018-03-01,1.32990047074382,1.2616397016514465
2018-04-01,1.331755602969881,1.2334524983855193
2018-05-01,1.3651989736233765,1.2655203338301024
2018-06-01,1.3973437650298415,1.2913590488294242
2018-07-01,1.3969305658350304,1.2905053723520437
2018-08-01,1.436843306774143,1.321319260726248
2018-09-01,1.4765600079236465,1.3540093745617388
2018-10-01,1.4773641929807242,1.3537530120495724
2018-11-01,1.39436812189034,1.2731534169313317
2018-12-01,1.4207820494388228,1.2864371634335445
2019-01-01,1.269013182772791,1.1595542101740495
2019-02-01,1.396407756395716,1.2753360864437902
2019-03-01,1.459105666033896,1.3247777879824003
2019-04-01,1.4807500893830001,1.3414511232808233
2019-05-01,1.4981491196732546,1.3576836494234248
2019-06-01,1.4142479285917187,1.2738320370536207
2019-07-01,1.5218730355868284,1.3762519907602615
2019-08-01,1.5119074932252552,1.3596786658522308
2019-09-01,1.4861870449320063,1.3225419831785576
2019-10-01,1.5209215900830455,1.3490499280116048
2019-11-01,1.5842732101876151,1.403663693609695
2019-12-01,1.6150274742408568,1.418273150363179
2020-01-01,1.6779044830467709,1.4706450036526695
2020-02-01,1.6467996833324932,1.4387772653326807
2020-03-01,1.4851727043532963,1.3576305141320408
2020-04-01,1.1032680611440397,1.0165889753889699
2020-05-01,1.2941734014062911,1.177800533322584
2020-06-01,1.421781120140831,1.2911871225705205
2020-07-01,1.424954611548852,1.2909243471783596
2020-08-01,1.5014100931472238,1.3553821889434468
2020-09-01,1.569288687257384,1.4189330662521502
2020-10-01,1.530455114658781,1.3784815353717284
2020-11-01,1.5132449228705127,1.3959086894447583
2020-12-01,1.7160220228393193,1.5721393650134186
2021-01-01,1.768108964947401,1.6204459104491695
2021-02-01,1.8029931331140656,1.6269032225409068
2021-03-01,1.9297200876777516,1.7388137805767454
2021-04-01,2.0223511626139983,1.8181594286246074
2021-05-01,2.0976011942121597,1.882373275574661
2021-06-01,2.137694229446764,1.922765258283704
2021-07-01,2.1484275565805744,1.9284470699589475
2021-08-01,2.158462957195004,1.9347855910831653
2021-09-01,2.2089996741460896,1.9819164418532338
2021-10-01,2.1487940324429267,1.9283000317819279
2021-11-01,2.252315215714957,2.019140614532548
2021-12-01,2.152939858139967,1.9223931585563965
2022-01-01,2.3238188330128193,2.0656836179697753
2022-02-01,2.2306131825600177,1.9895932699572834
2022-03-01,2.1534092316085864,1.918065227998115
2022-04-01,2.2620601944691723,2.0082179530255013
2022-05-01,2.111294377793273,1.8751590909559384
2022-06-01,2.1009584307915214,1.8660813539482994
2022-07-01,1.9536703853772843,1.7269154451848012
2022-08-01,2.097992331824205,1.8483072936050837
2022-09-01,2.031896169790651,1.7859759323086926
2022-10-01,1.843337313910529,1.6158460432415918
2022-11-01,1.9655075291209976,1.7766228995241413
2022-12-01,2.1020339782251725,1.888671029104627
2023-01-01,2.0020639900439177,1.7925427214231953
2023-02-01,2.1784992271447803,1.9458710175919804
2023-03-01,2.076121935632846,1.854301809523875
2023-04-01,2.071774250284289,1.8381068445355278
2023-05-01,2.077617942074195,1.8416372876601912
2023-06-01,2.013173314070662,1.7825798542886784
2023-07-01,2.1563140350229983,1.9018546888726378
2023-08-01,2.214090899039424,1.9580913711722263
2023-09-01,2.1589354132654353,1.9065608266629839
2023-10-01,2.0374088426471024,1.7796216843597261
2023-11-01,1.9784857984154354,1.729983092136519
2023-12-01,2.1933729007300813,1.9057103566256006
2024-01-01,2.3182105340091654,2.001654217663377
2024-02-01,2.3245196345944277,2.007386110877626
2024-03-01,2.4067860698662993,2.0744173497719878
2024-04-01,2.483856370332006,2.13692384376728
2024-05-01,2.3630320146173256,2.036567615917959
2024-06-01,2.4362432795324986,2.0973948514803715
2024-07-01,2.416756413278999,2.067359669962658
2024-08-01,2.5244927439810727,2.1515740681150155
2024-09-01,2.613277403182091,2.195734075883762
2024-10-01,2.6987635997783377,2.2598291318662955
2024-11-01,2.6633672815929708,2.2354319406771954
2024-12-01,2.825421485806969,2.3669022407595173
2025-01-01,2.641715856451433,2.2139648248951667
2025-02-01,2.7414449171915694,2.2959589923808115
2025-03-01,2.728915122970008,2.278325557334621
2025-04-01,2.6735832608643726,2.198889365528739
2025-05-01,2.605434846122759,2.141139090862799
2025-06-01,2.7198819433159116,2.2334088297265082
2025-07-01,2.8391241559853384,2.33123196997795
2025-08-01,2.8035670246952713,2.30044006862087
2025-09-01,2.912020002309803,2.3663737889104355
2025-10-01,2.9599266325288753,2.410465087250668
2025-11-01,2.930722693387139,2.380632980266118
2025-12-01,2.9749373627683933,2.4048301506744325
