prev_revid,curr_revid,curr_timestamp,candidate_event_count,comment
339455897,339460175,2010-01-23 01:50:31+00:00,10,"Mead Johnson replaced MBIA; Visa replaced Ciena; Ross, Cliffs and SAIC replaced Dynergy, KB Home, an"
342232720,353828268,2010-04-04 01:34:20+00:00,9,"added NRG, Urban Outfitters, Discovery, Helmerich & Payne, ONEOK; deleted Affiliated Computer Servic"
417889168,418017304,2011-03-09 20:50:50+00:00,13,Folded in mentioned changes.  Will require edits to fix links.
465749437,468441910,2011-12-30 04:17:20+00:00,15,"Update SP500 list according to the changes announced on Dec 8, 2011 by S&P."
606540140,607709431,2014-05-09 00:31:35+00:00,326,Added EDGAR CIK (Central Index Key) for each ticker
607709431,607711344,2014-05-09 00:47:07+00:00,326,Reverted edits by [[Special:Contributions/Dogevk|Dogevk]] ([[User talk:Dogevk|talk]]) ([[WP:HG|HG 3]
607711344,607712297,2014-05-09 00:55:25+00:00,326,Undid revision 607711344 by [[Special:Contributions/Solarra|Solarra]] ([[User talk:Solarra|talk]])
607771437,611864955,2014-06-06 20:06:09+00:00,33,/* S&P 500 Component Stocks */
611864955,611884619,2014-06-06 23:26:16+00:00,33,Undid damage (loss of 31 entries) from revision 611864955 by [[Special:Contributions/74.105.134.230|
615221744,619595358,2014-08-02 21:24:39+00:00,322,/* S&P 500 Component Stocks */
619595358,619671040,2014-08-03 13:09:41+00:00,322,Undid revision 619595358 by [[Special:Contributions/207.45.87.110|207.45.87.110]] ([[User talk:207.4
640738028,642518499,2015-01-14 22:28:25+00:00,30,/* S&P 500 Component Stocks */
642518499,642599736,2015-01-15 13:08:03+00:00,30,Undid revision 642518499 by [[Special:Contributions/12.201.147.102|12.201.147.102]] ([[User talk:12.
792435747,792437461,2017-07-26 14:26:10+00:00,10,"MGM, RMD, PKG, AOS and DRE replace RAI, MNK, MUR, BBBY and RIG"
890812369,896662332,2019-05-12 02:12:19+00:00,10,/* S&P 500 Component Stocks */ HCA name chg'd effective 8-May-2017
931604300,932390660,2019-12-25 15:27:54+00:00,25,/* S&P 500 component stocks */
932390660,932582250,2019-12-26 23:26:28+00:00,25,revert unexplained deletion
958490357,964762229,2020-06-27 12:33:09+00:00,82,/* S&P 500 component stocks */
964762229,964763271,2020-06-27 12:42:32+00:00,82,Undid revision 964762229 by [[Special:Contributions/2A02:C7F:BC40:A300:3D8A:1F1E:1816:A85B|2A02:C7F:
968869819,980783480,2020-09-28 12:34:09+00:00,15,Reverted 1 edit by [[Special:Contributions/97.87.30.151|97.87.30.151]] ([[User talk:97.87.30.151|tal
1048260671,1048268471,2021-10-05 03:27:28+00:00,102,got rid of incomplete information for short period
1048268471,1048525227,2021-10-06 13:22:00+00:00,102,Undid revision 1048268471 by [[Special:Contributions/Asderatafsd|Asderatafsd]] ([[User talk:Asderata
1120975637,1122061875,2022-11-15 17:08:26+00:00,501,
1122061875,1122083603,2022-11-15 19:25:23+00:00,501,Undid revision 1122061875 by [[Special:Contributions/2604:3D08:837E:3F00:C864:373F:A77C:374B|2604:3D
1290794279,1291997409,2025-05-24 16:38:18+00:00,22,
1291997409,1291997641,2025-05-24 16:39:43+00:00,22,Reverted 1 edit by [[Special:Contributions/90.170.243.113|90.170.243.113]] ([[User talk:90.170.243.1
